epoch,train_lr,train_loss,eval_loss,eval_acc,eval_f1,eval_recall,eval_precision,eval_kappa
0,1e-06,1.9987676412828508,2.0172202587127686,0.16923076923076924,0.16527520098948667,0.20782312925170068,0.21000400160064028,0.054672771343926785
1,2.08e-05,1.8597447141524284,1.8974289894104004,0.26153846153846155,0.25430760810071157,0.31428571428571433,0.2821962118180606,0.14543960558751023
2,4.06e-05,1.768124488092238,2.296288013458252,0.3076923076923077,0.27074162998532747,0.29761904761904756,0.3545634920634921,0.16832527722490753
3,6.04e-05,1.8512954827277892,1.984854817390442,0.26153846153846155,0.2729575668651299,0.28775510204081634,0.3841628959276017,0.12994980479643048
4,8.02e-05,1.8584253057356803,2.1033952236175537,0.2,0.19535147392290247,0.23435374149659863,0.19969696969696968,0.07321085823964901
5,9.993832906395582e-05,1.7645847528211531,1.792328953742981,0.3384615384615385,0.2682983448641436,0.2785714285714286,0.29684741410175686,0.16242133652981716
6,9.991120277927223e-05,1.6013043465152863,2.0736589431762695,0.3384615384615385,0.3153649419634075,0.3547619047619048,0.3190476190476191,0.2168674698795181
7,9.987915147510061e-05,1.5475038424614938,1.939052939414978,0.3230769230769231,0.2875896033790771,0.3144557823129252,0.2897402305297042,0.18425556189389625
8,9.98421786662277e-05,1.5136937691319374,1.5286599397659302,0.4461538461538462,0.32637085137085137,0.35595238095238096,0.35241187384044526,0.3097345132743363
9,9.98002884071386e-05,1.3377495677240434,2.014871120452881,0.38461538461538464,0.3739821739821739,0.39812925170068025,0.5001443001443001,0.2702778557395453
10,9.97534852915723e-05,1.3894373428437017,1.5410774946212769,0.4307692307692308,0.3863636363636363,0.38724489795918365,0.3899630027449576,0.3097014925373135
11,9.970177445201784e-05,1.200674424248357,1.928538203239441,0.4153846153846154,0.42410882481647627,0.4629251700680272,0.4692949907235621,0.3184326710816777
12,9.964516155915151e-05,1.3297716408006606,1.7271138429641724,0.4307692307692308,0.3910921489426576,0.40289115646258505,0.415906362545018,0.31734317343173435
13,9.958365282121497e-05,1.1807506161351358,1.313912272453308,0.5538461538461539,0.42066731454486556,0.45765306122448984,0.509609643230333,0.4391550133888724
14,9.951725498333448e-05,1.1559779893967412,1.5561422109603882,0.5076923076923077,0.48788730066925556,0.5079931972789116,0.5177655677655678,0.4104308390022675
15,9.94459753267812e-05,1.07434925148564,1.1878530979156494,0.6153846153846154,0.5889184902755413,0.5869047619047619,0.6159863945578231,0.5311598384304674
16,9.936982166817273e-05,1.0413653629441415,1.4646621942520142,0.5384615384615384,0.4096474953617811,0.48418367346938773,0.3807418072123955,0.43181818181818177
17,9.928880235861588e-05,1.004884208402326,1.1565316915512085,0.6153846153846154,0.5440473017959826,0.5653061224489796,0.5429089026915114,0.5263771495190906
